Question,Template
Is this plane landing? <extra_id_0>,This plane is not landing.
What color is the plane? <extra_id_0>,The color of the plane is [mask].
What shape are the windows on the side of the plane? <extra_id_0>,The shape of the windows is [mask].
Is the plane taking off? <extra_id_0>,The plane is taking off.
Are these airliners? <extra_id_0>,These airliners are not airliners.
How many planes are in the picture? <extra_id_0>,There are [mask] planes.
Are this cargo planes? <extra_id_0>,This cargo planes are not.
Is this bear a normal size? <extra_id_0>,This bear is normal size.
What is the website on the sign? <extra_id_0>,The website on the sign is [mask].
What is the bear called? <extra_id_0>,The bear is called [mask].
Is there a flower arrangement on the lawn? <extra_id_0>,There is a flower arrangement.
What color horse is closer to the camera? <extra_id_0>,The horse is [mask].
Are they playing polo? <extra_id_0>,They are playing polo.
How many trees are in this photo? <extra_id_0>,There are [mask] trees in this photo.
What type of tree is the man standing next to? <extra_id_0>,The tree is [mask].
Is this man reading a cell phone screen? <extra_id_0>,This man is reading a cell phone screen.
What pattern is on the pants? <extra_id_0>,The pattern on the pants is [mask].
What sport is this person playing? <extra_id_0>,The person is playing [mask].
What is the position of the player behind the batter called? <extra_id_0>,The position of the player behind the batter is [mask].
What color is the girl's shirt? <extra_id_0>,The color of the girl's shirt is [mask].
What are they drinking? <extra_id_0>,The drink is [mask].
What brand of beer is visible? <extra_id_0>,The brand of beer is [mask].
Where is Brooklyn Avenue? <extra_id_0>,Brooklyn Avenue is in [mask].
Which direction is Brooklyn Ave? <extra_id_0>,Which direction is Brooklyn Ave?
Is there a stop sign in the picture? <extra_id_0>,There is no stop sign.
What logo is on the man's shirt? <extra_id_0>,The logo on the man's shirt is [mask].
Is the man unhappy? <extra_id_0>,The man is unhappy.
Are the men going to share the bananas? <extra_id_0>,The men are going to share the bananas.
What color are the flowers? <extra_id_0>,The color of the flowers is [mask].
What colors are the flowers? <extra_id_0>,The flowers are [mask].
How many flowers are painted on the vase? <extra_id_0>,There are [mask] flowers painted.
Do the painted flowers match the real ones? <extra_id_0>,The painted flowers match the real ones.
Where is the bird? <extra_id_0>,The bird is in [mask].
Will the birds go into the water? <extra_id_0>,The birds will not go into the water.
What direction is the bird looking? <extra_id_0>,The bird is looking in [mask].
Is this bird afraid of the ledge? <extra_id_0>,This bird is afraid of the ledge.
What time of day is it? <extra_id_0>,It is [mask] at [mask].
How many elephants are in the water? <extra_id_0>,There are [mask] elephants in the water.
How many tails can you see in this picture? <extra_id_0>,There are [mask] tails.
How many tusks are visible? <extra_id_0>,There are [mask] tusks visible.
What is this animal? <extra_id_0>,The animal on the beach is [mask].
What color is the animal? <extra_id_0>,The animal on the beach is [mask].
What color is the plane? <extra_id_0>,The color of the plane is [mask].
What type of plane is this? <extra_id_0>,The type of plane is [mask].
Are the mountains high? <extra_id_0>,The mountains are high.
What color are the seats? <extra_id_0>,The color of the seats is [mask].
Is there a person standing in front of the television? <extra_id_0>,This person is not standing.
Where is the mirror? <extra_id_0>,The mirror is in [mask].
Is there enough room under the armchairs for a cat to hide? <extra_id_0>,There is enough room.
Who made the cock? <extra_id_0>,[mask] made the cock.
Are there numbers on the clock face? <extra_id_0>,There are numbers on the clock face.
Is there a big tree behind the clock? <extra_id_0>,There is a big tree.
What is in the picture? <extra_id_0>,The picture is [mask].
What time is the clock showing? <extra_id_0>,The clock is showing [mask].
What are the vases sitting on? <extra_id_0>,The vases are sitting on [mask].
How many trees on the table? <extra_id_0>,There are [mask] trees on the table.
How many horns are in the picture? <extra_id_0>,There are [mask] horns.
What color is the middle vase? <extra_id_0>,The color of the middle vase is [mask].
What is the table made of? <extra_id_0>,The table is made of [mask].
What kind of trees are on the table? <extra_id_0>,The trees on the table are [mask].
Is this a wedding? <extra_id_0>,This is a wedding.
What is the green stuff on this pizza? <extra_id_0>,The green stuff on this pizza is [mask].
Does the crust look burnt? <extra_id_0>,The crust looks burnt.
Is it thick or thin crust? <extra_id_0>,This food is thick or thin crust.
Does this pizza have a deep dish crust? <extra_id_0>,This pizza has a deep dish crust.
Is the banana freshly peeled? <extra_id_0>,The banana is freshly peeled.
Is the banana closed? <extra_id_0>,The banana is closed.
What is the orange thing? <extra_id_0>,The orange thing is [mask].
Does this photo show train tracks? <extra_id_0>,This photo does not show train tracks.
Does this train work? <extra_id_0>,This train does not work.
Is this train headed towards or from the orange building? <extra_id_0>,This train is headed towards the orange building.
How many Giraffes are in this image? <extra_id_0>,There are [mask] Giraffes.
What is the giraffe eating? <extra_id_0>,The giraffe is eating [mask].
Are the giraffes under the trees? <extra_id_0>,The giraffes are under trees.
Are there 3 elephants? <extra_id_0>,There are 3 elephants.
Are all of the elephants full grown? <extra_id_0>,All of the elephants are full grown.
Are the elephants in the jungle? <extra_id_0>,The elephants are in the jungle.
What is on the woman's neck? <extra_id_0>,The woman's neck is [mask].
Is the woman eating the pizza? <extra_id_0>,The woman eating the pizza.
How many stairs are there? <extra_id_0>,There are [mask] stairs.
Where is the sink located? <extra_id_0>,The sink is located in [mask].
Where is the soap? <extra_id_0>,The soap is in [mask].
What color is the window frame? <extra_id_0>,The window frame is [mask].
What item is folded up and sitting on the edge of the shower stall? <extra_id_0>,The item is [mask].
What pattern is on the shower curtain? <extra_id_0>,The pattern on the shower curtain is [mask].
What are the colors of the countertop? <extra_id_0>,The countertop is [mask].
Are there any reflections in this picture? <extra_id_0>,There are no reflections.
How many windows are there? <extra_id_0>,There are [mask] windows.
Is the water on? <extra_id_0>,The water is on.
Is this photo outdoors? <extra_id_0>,This photo is outdoors.
How many birds are in the sink? <extra_id_0>,There are [mask] birds in the sink.
What is the person on the right called? <extra_id_0>,The person on the right is [mask].
Whose logo is on the official's chair? <extra_id_0>,[mask] is on the official's chair.
How many tennis players are in the photo? <extra_id_0>,There are [mask] tennis players.
Are the clock and owl made in the same artistic fashion? <extra_id_0>,The clock and owl are made.
Is that owl a candle? <extra_id_0>,This owl is a candle.
What time does the clock say? <extra_id_0>,The clock says [mask].
Does this planes tail have 4 colors? <extra_id_0>,This planes tail has 4 colors.
Is this plane landing? <extra_id_0>,This plane is not landing.
Is this plane taking off? <extra_id_0>,This plane is taking off.
What is the last letter over the plane? <extra_id_0>,The last letter over the plane is [mask].
Are these wings strong? <extra_id_0>,These wings are strong.
Is that a bicycle? <extra_id_0>,This is a bicycle.
What is the number on the mailbox? <extra_id_0>,The mailbox number is [mask].
What is this person wearing on head? <extra_id_0>,The person is wearing [mask].
Is this a cow farm? <extra_id_0>,This is a cow farm.
What are the animals doing? <extra_id_0>,The animals are doing [mask].
What breed of livestock is shown? <extra_id_0>,The breed of livestock is [mask].
How many black sheep are there? <extra_id_0>,There are [mask] black sheep.
What game would you play when you saw this as a child? <extra_id_0>,The game would be [mask].
Where is the human? <extra_id_0>,The human is in [mask].
Is this a prairie? <extra_id_0>,This is a prairie.
Is there a village in the background? <extra_id_0>,The village is in the background.
What color is the sign? <extra_id_0>,The color of the sign is [mask].
Would you be able to find a mosque in this city? <extra_id_0>,This city has a mosque.
What language is the sign written in? <extra_id_0>,The sign is written in [mask].
How has the cheese been prepared?,<BLANK>
How has the cheese been prepared? <extra_id_0>,The cheese has been prepared by [mask].
Is there ketchup? <extra_id_0>,There is ketchup.
How many lunches is this? <extra_id_0>,There are [mask] lunches.
Is the hotdog well seasoned? <extra_id_0>,The hotdog is well seasoned.
What kind of food is shown? <extra_id_0>,The food is [mask].
What is the cutting board used for in this scene? <extra_id_0>,The cutting board is used for [mask].
Of what meal is this kind of food typical?,<BLANK>
Of what meal is this kind of food typical? <extra_id_0>,This kind of food is [mask].
Is this a healthy meal? <extra_id_0>,This meal is healthy.
What kind of sauce is in the largest ramekin? <extra_id_0>,The sauce is [mask].
What type of food is shown? <extra_id_0>,The food is [mask].
What is the topping on the hot dog? <extra_id_0>,The topping on the hot dog is [mask].
What topping is on the hot dog? <extra_id_0>,The topping on the hot dog is [mask].
What is in the small container? <extra_id_0>,The small container is [mask].
What are the components of this dish? <extra_id_0>,The components of this dish are [mask].
What kind of toppings are on the hot dogs? <extra_id_0>,The toppings on the hot dogs are [mask].
Is there a spoon in this photo? <extra_id_0>,There is no spoon in this photo.
Is this breakfast? <extra_id_0>,This breakfast is not available.
How delicious does this look?,<BLANK>
How delicious does this look? <extra_id_0>,This food looks delicious.
What two vegetables are in the white bowl? <extra_id_0>,The vegetables in the white bowl are [mask].
How many hot dogs are shown? <extra_id_0>,There are [mask] hot dogs shown.
What type of filling is in the dish on the bottom left? <extra_id_0>,The filling is [mask].
What color is the tray? <extra_id_0>,The color of the tray is [mask].
How many pickle spears are there? <extra_id_0>,There are [mask] pickle spears.
What is the yellow stuff in a bowl? <extra_id_0>,The yellow stuff in a bowl is [mask].
How many people are eating this hotdog? <extra_id_0>,There are [mask] people eating this hotdog.
Is there a drink in this picture? <extra_id_0>,This picture does not contain a drink.
What is the hot dog sitting on top of? <extra_id_0>,The hot dog is sitting on [mask].
How many sauces are there? <extra_id_0>,There are [mask] sauces.
What are the orange things? <extra_id_0>,The orange things are [mask].
Are the carrots diced or cut long ways? <extra_id_0>,The carrots are diced.
Do these hot dogs look like they taste good? <extra_id_0>,These hot dogs look good.
Are those tomatoes on the sandwich? <extra_id_0>,The tomatoes are on the sandwich.
What is in the cup? <extra_id_0>,The cup is [mask].
What is the orange root called? <extra_id_0>,The orange root is [mask].
What is the blackened meat on the bread? <extra_id_0>,The blackened meat on the bread is [mask].
What kind of meat is this? <extra_id_0>,The meat on the beach is [mask].
What is on the sandwich? <extra_id_0>,The sandwich is [mask].
Are the fries plain? <extra_id_0>,The fries are plain.
Does this breakfast dish primarily carbohydrates? <extra_id_0>,This breakfast dish primarily carbohydrates.
Has someone started eating? <extra_id_0>,This person has started eating.
What animal is on the plate? <extra_id_0>,The animal on the plate is [mask].
Would this be good for dessert? <extra_id_0>,This food would be good for dessert.
Is there a butter plate on the table? <extra_id_0>,There is a butter plate.
Does this have lettuce? <extra_id_0>,This has lettuce.[mask].
Does the food look good? <extra_id_0>,This food looks good.
Is this meat? <extra_id_0>,This meat is not meat.
What is on the hotdog? <extra_id_0>,The hotdog is [mask].
What two vegetables can be seen on the pizza? <extra_id_0>,The vegetables on the pizza are [mask].
Would this typically be eaten for breakfast? <extra_id_0>,This food is typically eaten for breakfast.
Is that bacon from a delicatessen? <extra_id_0>,This bacon is from a delicatessen.
What condiment is on the potatoes? <extra_id_0>,The condiment on the potatoes is [mask].
How many kinds of meat products are here? <extra_id_0>,There are [mask] different kinds of meat products.
What sauces are shown? <extra_id_0>,The sauces are [mask].
What kind of potato are the fries? <extra_id_0>,The fries are [mask].
What is mainly featured? <extra_id_0>,The main feature is [mask].
Is the man wearing formal clothes? <extra_id_0>,The man is wearing formal clothes.
What kind of plants are these? <extra_id_0>,The plants are [mask].
What is the pattern on the vase? <extra_id_0>,The pattern on the vase is [mask].
Which hand is the man holding up? <extra_id_0>,The [mask] hand is the man holding up.
Is there a deodorant on the sink? <extra_id_0>,This sink is not deodorant.
Is there a full roll of toilet paper in the bathroom? <extra_id_0>,This bathroom has toilet paper.
How many rolls of toilet paper are on the toilet tank? <extra_id_0>,There are [mask] rolls of toilet paper.
Would someone be able to watch you change from the outside? <extra_id_0>,This person cannot watch you change.
What color is the bathroom? <extra_id_0>,The bathroom is [mask].
Does the shower have a glass door? <extra_id_0>,The shower has a glass door.
What is the primary color of the bathroom? <extra_id_0>,The primary color of the bathroom is [mask].
What color is the wall? <extra_id_0>,The color of the wall is [mask].
Is the towel rack silver? <extra_id_0>,The towel rack is silver.
Is there a shower curtain? <extra_id_0>,This shower curtain is not available.
What color are the bathroom walls? <extra_id_0>,The bathroom walls are [mask].
Where is the light coming from? <extra_id_0>,The light is coming from [mask].
Is the toilet lid down? <extra_id_0>,The toilet lid is down.
How many layers are in this cake? <extra_id_0>,There are [mask] layers in this cake.
Does this cake look like it chocolate? <extra_id_0>,This cake looks like it chocolate.
How many people can eat this cake? <extra_id_0>,There are [mask] people eating this cake.
What is printed on the orange sign? <extra_id_0>,The sign is printed on [mask].
What is the name of the hotel? <extra_id_0>,The name of the hotel is [mask].
How many vehicles are shown? <extra_id_0>,There are [mask] vehicles shown.
What mode of transportation is pictured? <extra_id_0>,The mode of transportation is [mask].
Is this a small town? <extra_id_0>,This is a small town.
Will these planes be used to transport people? <extra_id_0>,This plane is used to transport people.
What airline is this? <extra_id_0>,The airline is [mask].
The plane's stand resembles what letter?,<BLANK>
The plane's stand resembles what letter? <extra_id_0>,The plane's stand resembles [mask].
What type of plane is this? <extra_id_0>,The type of plane is [mask].
What is written on the picture? <extra_id_0>,The picture is [mask].
What shipping company is represented in the scene? <extra_id_0>,The shipping company is [mask].
What airline is this plane from? <extra_id_0>,The plane is from [mask].
What kind of aircraft is this? <extra_id_0>,The aircraft is [mask].
How does the man get down from the machine?,<BLANK>
How does the man get down from the machine? <extra_id_0>,The man gets down from the machine.
Is the room carpeted? <extra_id_0>,The room is carpeted.
Where is the television? <extra_id_0>,The television is in [mask].
Is there a fireplace? <extra_id_0>,This fireplace is not present.
Are stains on the floor? <extra_id_0>,The floor is stained.
How many lamps are there? <extra_id_0>,There are [mask] lamps.
What is the picture of on wall? <extra_id_0>,The picture on the wall is [mask].
What is on the carpet? <extra_id_0>,The carpet is [mask].
How many lamps are in the room? <extra_id_0>,There are [mask] lamps in the room.
Are these boys at home? <extra_id_0>,These boys are at home.
What kind of lamp is on the floor? <extra_id_0>,The lamp on the floor is [mask].
Is this a 60's motif? <extra_id_0>,This is a 60's motif.
How many pictures on the wall? <extra_id_0>,There are [mask] pictures on the wall.
Which floor lamp is not lit? <extra_id_0>,The [mask] floor lamp is not lit.
How many TVs are on? <extra_id_0>,There are [mask] TVs on.
What color is the sofa? <extra_id_0>,The color of the sofa is [mask].
How many pictures are on the wall? <extra_id_0>,There are [mask] pictures on the wall.
How many men in the picture are wearing sunglasses? <extra_id_0>,There are [mask] men wearing sunglasses.
What kind of hat is the man with the girls wearing? <extra_id_0>,The man with the girls is wearing [mask].
What color is the man's shirt in the front of the photo? <extra_id_0>,The color of the man's shirt is [mask].
What are the ladies doing? <extra_id_0>,The ladies are doing [mask].
Where is the street sign? <extra_id_0>,The street sign is in [mask].
Where are the women walking? <extra_id_0>,The women are walking in [mask].
Is the light green? <extra_id_0>,The light green is green.
What is written on the street? <extra_id_0>,The street is [mask].
Is it raining? <extra_id_0>,It is raining.
Urban or suburban?,<BLANK>
Urban or suburban? <extra_id_0>,Urban or suburban?
Where is the woman standing? <extra_id_0>,The woman is standing in [mask].
How many people can be seen? <extra_id_0>,There are [mask] people visible.
What type of vehicle is on the left? <extra_id_0>,The vehicle on the left is [mask].
Is this woman crossing a street? <extra_id_0>,This woman is crossing a street.
What color is the traffic signal? <extra_id_0>,The traffic signal is [mask].
What is being held green? <extra_id_0>,The green thing is [mask].
What time of day is it? <extra_id_0>,It is [mask] at [mask].
Is this in the United States? <extra_id_0>,This is in the United States.
How many green lights are there? <extra_id_0>,There are [mask] green lights.
How many lights does the plane have? <extra_id_0>,There are [mask] lights.
How many planes are in this photo? <extra_id_0>,There are [mask] planes.
Is there anyone in the cockpit? <extra_id_0>,There is no one in the cockpit.
What country name is written as the highest word on the bus? <extra_id_0>,The country name is [mask].
Is the bus stopped? <extra_id_0>,The bus is stopped.
How many people are standing in this image? <extra_id_0>,There are [mask] people standing.
What is the skier standing on? <extra_id_0>,The skier is standing on [mask].
How many poles is the person holding? <extra_id_0>,There are [mask] poles.
What is the person doing? <extra_id_0>,The person is doing [mask].
Is this an ocean area? <extra_id_0>,This is an ocean area.
How many bodies of water are in this scene? <extra_id_0>,There are [mask] bodies of water.
How many light post is there? <extra_id_0>,There are [mask] light posts.
Is the ground near the waterfront squishy? <extra_id_0>,The ground near the waterfront is soft.
What infrastructure would one drive on to go perpendicular to the water? <extra_id_0>,The infrastructure would be [mask].
Is the water calm? <extra_id_0>,The water is calm.
What color is the woman's sweater? <extra_id_0>,The color of the woman's sweater is [mask].
Is this a cheese pizza? <extra_id_0>,This is a cheese pizza.
What pizza topping is this? <extra_id_0>,The pizza topping is [mask].
What is in the vase next to the flowers? <extra_id_0>,The vase next to the flowers is [mask].
Is there more than one vase on the table? <extra_id_0>,There is more than one vase.
Are these flowers real or silk? <extra_id_0>,These flowers are real or silk.
England's Queen mother and these blooms share what syllable?,<BLANK>
England's Queen mother and these blooms share what syllable? <extra_id_0>,The Queen mother is English.
How many people are in the picture? <extra_id_0>,There are [mask] people in the picture.
What color are the chairs? <extra_id_0>,The color of the chairs is [mask].
What kind of celebration is this? <extra_id_0>,This is a [mask].
What emblem is on the cake? <extra_id_0>,The emblem on the cake is [mask].
Are they outside or in? <extra_id_0>,They are outside or in.
Is there a cake here? <extra_id_0>,There is a cake here.
Are there any pens on the table? <extra_id_0>,There are no pens on the table.
What are the initials on the cake? <extra_id_0>,The initials on the cake are [mask].
Why are the birds only appearing as black silhouettes? <extra_id_0>,The birds are only appearing as black silhouettes.
How many pigeons are there? <extra_id_0>,There are [mask] pigeons.
Is this image tilted? <extra_id_0>,This image is tilted.
What utensil is in the pan? <extra_id_0>,The utensil is [mask].
What is the red vegetable in the clear dish? <extra_id_0>,The red vegetable is [mask].
Does this image contain a pie pan? <extra_id_0>,This image contains a pie pan.
Is this a large house? <extra_id_0>,This house is large.
Is there a fountain in front of the building? <extra_id_0>,The fountain is in front of the building.
Is the sun shining? <extra_id_0>,The sun is shining.
What color is the building? <extra_id_0>,The color of the building is [mask].
Is this a church? <extra_id_0>,This church is not a church.
What tree is on the left? <extra_id_0>,The tree on the left is [mask].
Are there clouds visible? <extra_id_0>,The sky is blue.
Is this a sunny day? <extra_id_0>,This is a sunny day.
What is the material right around the clock? <extra_id_0>,The material right around the clock is [mask].
What color are the flowers? <extra_id_0>,The color of the flowers is [mask].
How many bells are there? <extra_id_0>,There are [mask] bells.
How tall is this building?,<BLANK>
How tall is this building? <extra_id_0>,The building is [mask] tall.
What materials are on the roof? <extra_id_0>,The roof is made of [mask].
How many clock faces does this building have? <extra_id_0>,There are [mask] clock faces.
Are the hedges well-groomed? <extra_id_0>,The hedges are well-groomed.
Does the building in the back have an elevator? <extra_id_0>,The building in the back has an elevator.
What is in gold at the top of the building? <extra_id_0>,The building is in [mask].
Do you a phone booth? <extra_id_0>,This phone booth is not available.
What color is the clock tower in this photo? <extra_id_0>,The color of the clock tower is [mask].
What are on both side of the building? <extra_id_0>,The building is on [mask].
What is around the tree? <extra_id_0>,The tree is around [mask].
Are the buildings tall? <extra_id_0>,The buildings are tall.
